h_type	date	adress	loc	num_floor	unit_per_floor	north	sought	west	east	floor	area	num_sleep	tel	kitch	service	floor_covering	open	parking	warehouse	balcony	equipment	age	statuse	view	doc_status	nearby		price	unit_price
آپارتمان	1400/11/24	دروس نرسیده به خ صالح حسینی	3	5	4	1	0	0	0	5	175	3	1	MDF	ايراني فرنگي	سنگ	1	1	1	1	شوفاژ_کولر_آسانسور_گاز	13	مسکونی	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_16625000000	95000000
آپارتمان	1400/11/24	شیخ بهائی شهرك والفجر	3	3	1	0	1	0	0	2	147	3	1	MDF	ايراني فرنگي	سراميک	0	1	1	1	کولر_گاز	23	تخلیه	آجر	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_7791000000	53000000
آپارتمان	1400/11/24	سئول جنوبی خ 12 متری اول	3	4	2	1	1	0	0	1	71	2	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	کولر_آسانسور_پکیج_گاز	7	تخلیه	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_5000000000	70422000
آپارتمان	1400/11/24	شیخ بهائی جنوبی شهرك والفجر	3	6	3	0	1	0	0	5	108	2	1	هایگلاس	ايراني فرنگي	سنگ	1	1	1	1	شوفاژ_کولر_آسانسور_پکیج_گاز	نوساز	تخلیه	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_6200000000	57407000
آپارتمان	1400/11/24	ظفر زرگنده شكرابی خ بهارلو	3	4	1	1	0	0	0	2	92	2	1	MDF	ايراني فرنگي	سراميک	1	0	0	0	کولر_آسانسور_پکیج_گاز	7	تخلیه	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_4600000000	50000000
آپارتمان	1400/11/24	ملاصدرا بالاتر از شیخ بهائی	3	5	1	0	1	0	0	4	160	2	1	فلزي	ايراني فرنگي	سراميک	1	1	1	1	شوفاژ_کولر_آسانسور_گاز	25	مسکونی	آجر	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_10000000000	62500000
آپارتمان	1400/11/23	میرداماد خ نفت	3	5	2	1	1	0	0	4	147	3	1	MDF	ايرانی	سنگ	1	1	1	1	شوفاژ_کولر_آسانسور_پکیج_گاز	نوساز	تخلیه	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_13500000000	91836000
آپارتمان	1400/11/23	دروس بلوار شهرزاد خ شادی	3	3	1	0	1	0	0	2	26	1	1	MDF	ايرانی	پارکت	1	0	0	0	کولر_گاز	15	تخلیه	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_3000000000	115384000
آپارتمان	1400/11/23	پاسداران خ بهارستان سوم خ غیاثوند	3	4	2	1	0	0	0	4	84	2	1	MDF	ايراني فرنگي	سنگ	1	1	1	1	شوفاژ_کولر	19	تخلیه	سنگ و شيشه	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_4200000000	50000000
آپارتمان	1400/11/23	قلهك خ یخچال خ كی نژاد ك اسلامی شرقی	3	5	2	1	0	0	1	3	172	4	1	MDF	ايراني فرنگي	سنگ	1	1	0	1	شوفاژ_کولر_آسانسور_حیاط_پکیج	15	مسکونی	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_10320000000	60000000
آپارتمان	1400/11/23	پاسداران خ گلستان یكم	3	6	4	0	1	0	0	4	100	2	1	هایگلاس	ايراني فرنگي	پارکت	1	1	1	1	شوفاژ_کولر_آسانسور_گاز	19	تخلیه	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_6300000000	63000000
آپارتمان	1400/11/23	پاسداران خ بوستان	3	5	2	0	1	0	0	1	100	2	1	MDF	ايراني فرنگي	سنگ	1	1	1	1	شوفاژ_کولر_آسانسور_پکیج_گاز	15	تخلیه	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_6500000000	65000000
آپارتمان	1400/11/23	شریعتی بالاتراز مترو قلهك نرسیده به مسجد جامع	3	5	2	0	1	0	0	3	108	2	1	چوبي فلزي	ايراني فرنگي	سنگ	1	1	1	1	شوفاژ_کولر_آسانسور_گاز	16	مسکونی	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_5400000000	50000000
آپارتمان	1400/11/23	ظفر خ فرید افشار	3	4	3	1	0	0	0	زیرهمكف	90	1	1	MDF	فرنگی	پارکت	1	1	1	0	شوفاژ_کولر_آسانسور_گاز	450	30	اجاره	آجر	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_4050000000	45000000
آپارتمان	1400/11/23	اختیاریه شمالی نرسیده به خ فتاح	3	3	1	0	1	0	0	2	76	2	1	MDF	ايراني فرنگي	پارکت	1	0	1	0	شوفاژ_کولر_گاز	14	مسکونی	سيمان	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_4500000000	59210000
آپارتمان	1400/11/23	اختیاریه جنوبی خ معماری	3	5	2	0	1	0	0	1	90	2	1	MDF	ايراني فرنگي	سراميک	1	1	1	0	کولر_آسانسور_پکیج_گاز	نوساز	تخلیه	سنگ	اوقافي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_5850000000	65000000
آپارتمان	1400/11/23	دیباجی جنوبی خ برادران جوزی	3	5	4	1	0	0	0	2	111	3	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	شوفاژ_کولر_آسانسور_گاز	13	مسکونی	رومي	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_7215000000	65000000
آپارتمان	1400/11/23	اختیاریه شمالی خ تسلیمی خ نماززاده	3	3	2	1	1	0	0	1	105	2	1	MDF	ايراني فرنگي	سراميک	1	0	1	0	شوفاژ_کولر_گاز	20	اجاره	آجر سه سانت	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_8500000000	85000000
آپارتمان	1400/11/23	گاندی نرسیده به كوچه سوم	3	4	4	0	1	0	0	1	70	1	1	MDF	ايرانی	سراميک	1	0	1	0	شوفاژ_کولر_پکیج_گاز	18	اجاره	سيمان	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_5600000000	80000000
آپارتمان	1400/11/23	شیخ بهایی شهرك والفجر	3	3	1	1	0	0	0	1	138	3	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	شوفاژ_کولر_گاز	28	مسکونی	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_9500000000	68840000
آپارتمان	1400/11/23	سئول نیایش	3	4	3	0	1	1	0	3	112	2	1	MDF	ايرانی	سنگ	1	0	1	1	شوفاژ_کولر_گاز	30	مسکونی	آجر سه سانت	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_5000000000	44640000
آپارتمان	1400/11/23	جردن نرسیده به خ روانپور	3	5	1	0	1	0	0	2	157	3	0	چوبي	ايراني فرنگي	سنگ	0	1	1	1	کولر_آسانسور_جکوزی_گاز	نوساز	تخلیه	ترکیبی	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_17270000000	110000000
آپارتمان	1400/11/23	جردن نرسیده به خ روانپور	3	5	1	0	1	0	0	1	149	3	0	چوبي	ايراني فرنگي	سنگ	0	1	1	1	کولر_آسانسور_جکوزی_گاز	نوساز	تخلیه	ترکیبی	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_16390000000	110000000
آپارتمان	1400/11/23	ظفر خ دولتشاد	3	5	4	0	1	0	0	1	117	3	1	MDF	ايراني فرنگي	سنگ	1	1	1	1	کولر_فن کوئر_آسانسور_چیلر_گاز	930	11	مسکونی	ترکیبی	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_7722000000	66000000
آپارتمان	1400/11/23	ظفر نرسیده به خ همایون	3	3	1	1	0	0	0	3	210	3	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	شوفاژ_کولر_گاز	360	30	تخلیه	آجر	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_12500000000	59523000
آپارتمان	1400/11/23	بزرگراه صدر خ قلندری جنوبی	3	5	2	0	1	0	0	3	103	2	1	MDF	ايراني فرنگي	لامنيت	1	1	1	1	کولر_آسانسور_پکیج_گاز	2	تخلیه	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_9000000000	87378000
آپارتمان	1400/11/23	جردن نرسیه خ گلدان	3	3	2	0	1	0	0	همكف	138	2	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	شوفاژ_کولر_گاز	590	25	مسکونی	آجر سه سانت	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_12200000000	88405000
آپارتمان	1400/11/23	گاندی نرسیده به خ نهم	3	5	1	1	1	0	0	1	250	4	1	MDF	ايراني فرنگي	سراميک	1	0	1	0	شوفاژ_کولر_آسانسور_گاز	20	تخلیه	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_10750000000	43000000
آپارتمان	1400/11/23	میرداماد نرسیده به خ اطلسی	3	7	3	1	0	0	0	3	160	3	1	هایگلاس	ايراني فرنگي	لامنيت	1	1	1	0	کولر_آسانسور_گاز	20	مسکونی	ترکیبی	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_12000000000	75000000
آپارتمان	1400/11/23	دولت خ مطهری	3	5	3	0	1	0	0	2	97	2	1	MDF	ايراني فرنگي	سنگ	1	0	1	1	شوفاژ_کولر_آسانسور_گاز	15	تخلیه	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_5820000000	60000000
آپارتمان	1400/11/21	جردن نرسیده به خ پدیدار	3	6	2	1	1	0	0	4	148	3	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	شوفاژ_کولر_آسانسور_استخر_سونا_جکوزی_گاز	20	تخلیه	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_9200000000	62165000
آپارتمان	1400/11/21	میرداماد خ نفت شمالی	3	5	2	1	0	0	0	5	133	2	1	چوبي	ايراني فرنگي	سنگ	1	1	1	1	کولر_آسانسور_حیاط_گاز	نوساز	تخلیه	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_12635000000	95000000
آپارتمان	1400/11/21	اختیاریه شمالی خ جهانی نیا	3	4	3	1	1	0	0	همكف	106	2	1	MDF	ايراني فرنگي	سنگ	1	1	0	0	کولر_پاسیو_سونا_جکوزی_گاز	25	تخلیه	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_6678000000	63000000
آپارتمان	1400/11/21	پاسداران خ بوستان نهم	3	6	2	0	1	0	0	4	142	2	1	MDF	ايراني فرنگي	سراميک	1	1	1	0	شوفاژ_کولر_آسانسور	22	مسکونی	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_9230000000	65000000
آپارتمان	1400/11/21	شریعتی بالاتراز میرداماد	3	5	3	0	1	0	0	4	84	2	1	MDF	ايرانی	سنگ	1	1	0	1	کولر_آسانسور_پکیج_گاز	12	تخلیه	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_6300000000	75000000
آپارتمان	1400/11/21	دولت چهارراه قنات ك ارم	3	5	2	0	1	0	0	4	88	2	1	MDF	ايراني فرنگي	سنگ	1	1	1	0	کولر_آسانسور_گاز	3	مسکونی	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_6072000000	69000000
آپارتمان	1400/11/21	دولت چهارراه قنات ك ارم	3	5	2	0	1	0	0	4	148	3	1	MDF	ايراني فرنگي	سنگ	1	1	1	0	کولر_آسانسور_گاز	3	مسکونی	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_10212000000	69000000
آپارتمان	1400/11/21	ونك خدامی	3	13	10	0	0	0	1	10	128	2	1	چوبي فلزي	ايراني فرنگي	پارکت	1	1	1	1	کولر_فن کوئر_آسانسور_چیلر_گاز	30	مسکونی	سيمان	قولنامه اي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_8100000000	63281000
آپارتمان	1400/11/21	اختیاریه شمالی خ تسلیمی	3	5	2	0	1	0	0	5	90	2	1	MDF	ايراني فرنگي	سنگ	1	1	1	1	شوفاژ_کولر_آسانسور_گاز	نوساز	تخلیه	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_7650000000	85000000
آپارتمان	1400/11/21	دولت خ جهانتاب خ هنگامه	3	5	4	0	1	0	0	5	127	2	1	MDF	ايراني فرنگي	پارکت	1	1	1	1	شوفاژ_کولر_آسانسور_گاز	15	اجاره	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_10500000000	82677000
آپارتمان	1400/11/21	دیباجی جنوبی خ منظریه	3	2	1	1	1	0	0	2	170	3	1	چوبي	ايراني فرنگي	سنگ	1	1	1	1	شوفاژ_کولر_گاز	600	25	مسکونی	آجر سه سانت	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_12500000000	73529000
آپارتمان	1400/11/21	اختیاریه شمالی نرسیده به ك زرنگ	3	4	1	1	0	0	0	2	186	4	1	MDF	ايراني فرنگي	پارکت	1	1	1	1	شوفاژ_کولر_آسانسور_گاز	12	تخلیه	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_9300000000	50000000
آپارتمان	1400/11/21	دیباجی جنوبی نرسیده به دولت	3	5	2	1	1	0	0	4	140	3	1	MDF	ايراني فرنگي	سراميک	1	1	1	1	کولر_آسانسور_پکیج_گاز	19	مسکونی	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_8500000000	60714000
آپارتمان	1400/11/21	ظفر خ بابك شرقی	3	5	4	0	1	0	0	4	80	2	1	MDF	ايراني فرنگي	سراميک	1	1	1	0	کولر_آسانسور_گاز	6	تخلیه	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_6050000000	75625000
آپارتمان	1400/11/21	ظفر نرسیده به خ آرش	3	3	1	0	1	0	0	2	240	3	2	MDF	ايراني فرنگي	سنگ	0	0	1	1	شوفاژ_کولر_گاز	30	تخلیه	آجر سه سانت	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_30000000000	176470000
آپارتمان	1400/11/21	ظفر نونهالان خ ناهید	3	3	1	0	1	0	0	3	133	3	1	MDF	ايراني فرنگي	سراميک	1	0	1	1	شوفاژ_کولر_گاز	30	مسکونی	آجر	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_9800000000	73684000
آپارتمان	1400/11/21	ظفر خ فرید افشار	3	7	2	1	0	0	0	5	172	3	1	MDF	ايراني فرنگي	پارکت	1	1	1	1	شوفاژ_کولر_آسانسور_گاز	19	تخلیه	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_9460000000	55000000
آپارتمان	1400/11/21	میرداماد خ شاه نظری	3	2	3	0	1	0	0	2	300	3	1	MDF	ايرانی	سنگ	1	0	1	1	کولر_گاز	1000	30	مسکونی	آجر	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_18000000000	60000000
آپارتمان	1400/11/21	ملاصدرا شیراز جنوبی	3	5	2	1	1	0	0	3	159	3	1	MDF	ايراني فرنگي	سنگ	1	1	1	0	شوفاژ_کولر_آسانسور_گاز	6	تخلیه	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_13500000000	84905000
آپارتمان	1400/11/21	شریعتی دوراهی قلهك	3	4	1	0	1	0	0	2	173	3	1	MDF	ايراني فرنگي	لامنيت	1	1	1	1	شوفاژ_کولر_گاز	17	مسکونی	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_10700000000	61850000
آپارتمان	1400/11/21	دروس خ وارسته ك خروش	3	4	2	1	1	0	0	4	121	3	1	MDF	ايراني فرنگي	پارکت	1	1	1	0	کولر_پکیج_گاز	21	مسکونی	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_6500000000	53719000
آپارتمان	1400/11/21	قلهك خ كی نژاد	3	5	4	0	1	0	0	4	100	2	1	MDF	ايراني فرنگي	سنگ	1	1	1	1	کولر_آسانسور_چیلر_گاز	2	مسکونی	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_12000000000	120000000
آپارتمان	1400/11/21	نوبنیاد خ كبكان	3	6	3	1	1	0	0	3	125	2	1	هایگلاس	ايراني فرنگي	سنگ	1	1	1	1	کولر_آسانسور_پکیج_گاز	نوساز	تخلیه	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_11250000000	90000000
آپارتمان	1400/11/21	شریعتی بالاتر از متروی قلهك	3	3	1	0	1	1	0	3	42	1	2	MDF	ايرانی	سنگ سراميک	0	1	1	1	کولر_پکیج_گاز	13	مسکونی	سنگ	شخصي	بانک ها_مراکز درمانی_فروشگاه ها_مراکز آموزشی_مراکز ورزشی_مراکز سوخت گیری		_3300000000	78580000
